"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL),,
14900,-976028.9499,197790.5727,-778238.3772,300.311308,0.968163616,,
15000,-976229.7812,197788.3812,-778441.4,300.3079805,0.968163616,,
15100,-976400.1536,197491.864,-778908.2896,299.8577696,0.968163616,,
15200,-976451.8612,197809.7128,-778642.1484,300.3403689,0.968163616,,
15300,-976991.4224,197947.247,-779044.1754,300.5491912,0.968163616,,
15400,-977494.5415,197019.4802,-780475.0612,299.1405354,0.968163616,,
15500,-977207.9713,196770.037,-780437.9343,298.7617982,0.968163616,,
15600,-978342.479,197001.8808,-781340.5982,299.1138136,0.968163616,,
15700,-977961.2357,197193.8243,-780767.4114,299.4052471,0.968163616,,
15800,-977352.1492,196780.8029,-780571.3463,298.7781445,0.968163616,,
15900,-977971.3765,197337.0633,-780634.3132,299.6227311,0.968163616,,
16000,-978381.715,197143.8142,-781237.9008,299.3293153,0.968163616,,
16100,-977610.1426,197495.0606,-780115.082,299.8626232,0.968163616,,
16200,-977376.3341,197308.5251,-780067.809,299.5794007,0.968163616,,
16300,-977716.4524,197190.8636,-780525.5888,299.4007519,0.968163616,,
16400,-978973.7465,198395.3251,-780578.4213,301.2295215,0.968163616,,
16500,-977212.556,196404.3126,-780808.2434,298.206508,0.968163616,,
16600,-977075.9964,196799.9357,-780276.0607,298.8071943,0.968163616,,
16700,-977364.2646,197696.0571,-779668.2075,300.1678021,0.968163616,,
16800,-976291.7429,196615.1396,-779676.6034,298.5266129,0.968163616,,
16900,-976982.8969,197795.2029,-779187.6939,300.3183382,0.968163616,,
17000,-977422.3055,198233.6124,-779188.6931,300.9839883,0.968163616,,
17100,-977356.3746,197830.9482,-779525.4264,300.3726113,0.968163616,,
17200,-976963.0298,198195.4221,-778767.6078,300.9260028,0.968163616,,
17300,-976887.1753,198080.453,-778806.7223,300.7514418,0.968163616,,
17400,-977219.3741,197613.0836,-779606.2904,300.041821,0.968163616,,
17500,-977680.3848,197764.276,-779916.1088,300.271381,0.968163616,,
17600,-977830.9927,197774.0972,-780056.8955,300.2862927,0.968163616,,
17700,-977527.2233,197512.976,-780014.2473,299.8898247,0.968163616,,
17800,-977231.958,197768.9822,-779462.9758,300.2785264,0.968163616,,
17900,-976307.1092,197228.4751,-779078.6342,299.4578584,0.968163616,,
18000,-977295.5823,197798.7205,-779496.8618,300.323679,0.968163616,,
18100,-977774.6502,198511.9331,-779262.7171,301.4065709,0.968163616,,
18200,-977384.8182,197583.5544,-779801.2638,299.9969859,0.968163616,,
18300,-977415.0272,198295.7149,-779119.3122,301.0782805,0.968163616,,
18400,-977090.4177,197909.0376,-779181.3801,300.4911768,0.968163616,,
18500,-976204.4587,197259.6089,-778944.8498,299.5051299,0.968163616,,
18600,-976649.289,197220.4926,-779428.7964,299.4457383,0.968163616,,
18700,-976332.0012,196909.5423,-779422.459,298.9736132,0.968163616,,
18800,-976688.5235,197415.7709,-779272.7526,299.7422353,0.968163616,,
18900,-975715.0436,196399.2958,-779315.7478,298.1988909,0.968163616,,
19000,-977253.1944,198097.6402,-779155.5542,300.7775377,0.968163616,,
19100,-976778.2995,197543.431,-779234.8685,299.9360654,0.968163616,,
19200,-976740.1091,198114.2442,-778625.8649,300.802748,0.968163616,,
19300,-975885.6603,197587.9262,-778297.734,300.0036238,0.968163616,,
19400,-975813.7255,197535.6972,-778278.0283,299.9243229,0.968163616,,
19500,-976734.8744,198404.6767,-778330.1977,301.2437204,0.968163616,,
19600,-976415.9521,197333.6019,-779082.3502,299.6174755,0.968163616,,
19700,-976963.8765,197668.3998,-779295.4766,300.1258093,0.968163616,,
19800,-976962.3323,197721.271,-779241.0613,300.2060852,0.968163616,,
19900,-976720.5985,197497.5798,-779223.0187,299.8664481,0.968163616,,
20000,-977475.3258,197258.3672,-780216.9585,299.5032446,0.968163616,,
20100,-976840.3643,197315.7059,-779524.6584,299.5903036,0.968163616,,
20200,-976921.2947,197380.232,-779541.0626,299.6882755,0.968163616,,
20300,-976577.0972,197270.2299,-779306.8673,299.521256,0.968163616,,
20400,-976594.9829,197425.4018,-779169.5811,299.7568581,0.968163616,,
20500,-976813.3166,197353.3363,-779459.9803,299.6474389,0.968163616,,
20600,-976659.6711,197513.7691,-779145.902,299.8910288,0.968163616,,
20700,-976152.794,196689.5917,-779463.2022,298.6396558,0.968163616,,
20800,-976846.3962,197444.0343,-779402.3618,299.7851485,0.968163616,,
20900,-977507.6646,198405.9083,-779101.7562,301.2455904,0.968163616,,
21000,-977343.8303,198216.6187,-779127.2116,300.9581862,0.968163616,,
21100,-977735.1136,199104.4376,-778630.676,302.3061881,0.968163616,,
21200,-977028.2838,197986.6028,-779041.681,300.6089463,0.968163616,,
21300,-976975.6877,197448.1631,-779527.5246,299.7914172,0.968163616,,
21400,-977402.9956,197615.9537,-779787.0419,300.0461787,0.968163616,,
21500,-977357.3188,197977.5979,-779379.7209,300.5952739,0.968163616,,
21600,-977492.6377,197879.8931,-779612.7447,300.4469257,0.968163616,,
21700,-977554.9344,198201.6542,-779353.2802,300.9354653,0.968163616,,
21800,-977955.3364,199132.2622,-778823.0742,302.348435,0.968163616,,
21900,-977336.1422,198262.2001,-779073.9421,301.0273938,0.968163616,,
22000,-976903.5683,198193.8298,-778709.7384,300.9235853,0.968163616,,
22100,-976852.0528,197315.7938,-779536.259,299.5904371,0.968163616,,
22200,-976977.5738,197410.7132,-779566.8606,299.734556,0.968163616,,
22300,-977392.1655,197629.6916,-779762.4739,300.0670374,0.968163616,,
22400,-977922.8781,198101.9888,-779820.8892,300.7841403,0.968163616,,
22500,-977523.9666,197729.6316,-779794.335,300.2187792,0.968163616,,
22600,-977574.4804,196980.0109,-780594.4695,299.0806079,0.968163616,,
22700,-977325.8591,196060.8884,-781264.9707,297.6850769,0.968163616,,
22800,-978557.8793,196928.3673,-781629.512,299.0021959,0.968163616,,
22900,-978815.8967,197136.0727,-781679.824,299.3175612,0.968163616,,
23000,-977867.3932,196468.6757,-781398.7175,298.3042325,0.968163616,,
23100,-977823.3996,197099.584,-780723.8156,299.2621593,0.968163616,,
23200,-978175.4663,197138.7161,-781036.7501,299.3215748,0.968163616,,
23300,-978045.7936,196915.8304,-781129.9633,298.9831606,0.968163616,,
23400,-977584.9845,196582.8173,-781002.1672,298.4775369,0.968163616,,
23500,-978139.0831,197002.7448,-781136.3384,299.1151254,0.968163616,,
23600,-977794.3176,196305.7637,-781488.5538,298.0568784,0.968163616,,
23700,-978091.9932,196280.8045,-781811.1887,298.0189821,0.968163616,,
23800,-979271.2565,197797.9594,-781473.2971,300.3225234,0.968163616,,
23900,-977516.6337,196245.233,-781271.4007,297.9649728,0.968163616,,
24000,-978293.8342,196888.6236,-781405.2106,298.9418518,0.968163616,,
24100,-978771.1095,197614.5017,-781156.6077,300.0439742,0.968163616,,
24200,-979179.3192,198106.3956,-781072.9236,300.7908313,0.968163616,,
24300,-978327.7674,196930.6479,-781397.1195,299.0056586,0.968163616,,
24400,-978619.0696,197243.7481,-781375.3214,299.4810479,0.968163616,,
24500,-979263.8216,197846.9776,-781416.844,300.3969492,0.968163616,,
24600,-977889.2651,196804.399,-781084.8661,298.8139711,0.968163616,,
24700,-977499.0208,196846.8071,-780652.2137,298.8783605,0.968163616,,
24800,-977368.3295,196926.2348,-780442.0947,298.998958,0.968163616,,
24900,-977688.3799,197611.4517,-780076.9282,300.0393432,0.968163616,,
25000,-977890.0922,197357.9952,-780532.0971,299.6545127,0.968163616,,
25100,-978260.5351,197651.0996,-780609.4355,300.0995418,0.968163616,,
25200,-977552.6066,197456.7943,-780095.8123,299.8045222,0.968163616,,
25300,-977492.3001,198344.1892,-779148.1109,301.1518803,0.968163616,,
25400,-977327.82,198051.4948,-779276.3251,300.7074738,0.968163616,,
25500,-977424.4682,197567.9383,-779856.5299,299.9732755,0.968163616,,
25600,-977480.5588,197648.6982,-779831.8606,300.0958956,0.968163616,,
25700,-977553.3006,197718.271,-779835.0297,300.2015301,0.968163616,,
25800,-977114.5781,197624.6577,-779489.9204,300.0593943,0.968163616,,
25900,-977735.9087,198104.0339,-779631.8749,300.7872454,0.968163616,,
26000,-976938.5913,197445.0756,-779493.5158,299.7867294,0.968163616,,
26100,-977343.9156,197285.5654,-780058.3502,299.5445404,0.968163616,,
26200,-977761.3836,197265.7484,-780495.6352,299.5144516,0.968163616,,
26300,-977050.9737,197146.6343,-779904.3393,299.3335972,0.968163616,,
26400,-977489.3442,197427.4344,-780061.9097,299.7599443,0.968163616,,
26500,-977046.4214,196492.4478,-780553.9737,298.3403263,0.968163616,,
26600,-977682.4721,196527.1753,-781155.2968,298.3930541,0.968163616,,
26700,-978867.3618,197282.6266,-781584.7352,299.5400783,0.968163616,,
26800,-979218.2368,197947.083,-781271.1538,300.5489422,0.968163616,,
26900,-977945.6052,196968.4975,-780977.1077,299.0631267,0.968163616,,
27000,-978581.917,197023.4137,-781558.5033,299.1465077,0.968163616,,
27100,-978552.963,197295.7528,-781257.2102,299.5600082,0.968163616,,
27200,-977285.2988,196378.6034,-780906.6954,298.167473,0.968163616,,
27300,-977931.8302,196478.8132,-781453.0169,298.3196246,0.968163616,,
27400,-979178.8912,198012.3294,-781166.5617,300.6480078,0.968163616,,
27500,-977796.4492,197074.4513,-780721.9979,299.2239995,0.968163616,,
27600,-978354.2027,197706.1728,-780648.03,300.183161,0.968163616,,
27700,-978080.32,197368.0352,-780712.2848,299.6697568,0.968163616,,
27800,-977709.1334,197513.537,-780195.5964,299.8906764,0.968163616,,
27900,-978018.884,198202.2268,-779816.6572,300.9363346,0.968163616,,
28000,-977231.0729,197524.002,-779707.0708,299.9065658,0.968163616,,
28100,-977749.5165,197933.4951,-779816.0214,300.5283113,0.968163616,,
28200,-977857.8541,197741.2175,-780116.6365,300.2363706,0.968163616,,
28300,-978735.1,198598.548,-780136.552,301.5380808,0.968163616,,
28400,-978669.7245,198543.5373,-780126.1871,301.4545566,0.968163616,,
28500,-978057.674,197568.7266,-780488.9474,299.9744725,0.968163616,,
28600,-978944.5433,198189.8933,-780754.65,300.9176082,0.968163616,,
28700,-979293.3667,198136.8103,-781156.5564,300.8370108,0.968163616,,
28800,-978382.3988,197148.8577,-781233.5411,299.336973,0.968163616,,
28900,-977949.9796,196307.3176,-781642.662,298.0592376,0.968163616,,
29000,-979494.8799,197589.7455,-781905.1344,300.0063861,0.968163616,,
29100,-978345.6784,196392.8131,-781952.8653,298.189048,0.968163616,,
29200,-978405.5493,197041.6283,-781363.9211,299.1741634,0.968163616,,
29300,-977679.5771,196386.0277,-781293.5494,298.1787455,0.968163616,,
29400,-977854.6234,196538.9342,-781315.6892,298.4109081,0.968163616,,
29500,-978578.1614,197527.5765,-781050.5849,299.911993,0.968163616,,
29600,-979015.7238,197404.0174,-781611.7064,299.7243896,0.968163616,,
29700,-979519.4207,197571.9975,-781947.4232,299.9794387,0.968163616,,
29800,-979221.2596,196656.3383,-782564.9213,298.5891661,0.968163616,,
29900,-978465.0907,196052.6811,-782412.4097,297.6726154,0.968163616,,
30000,-979172.83,196882.2514,-782290.5786,298.9321768,0.968163616,,
